Site,Zone,Transect,Photocount,PhotoID,GPS,GPS,Point,Abiotic (m/s/rb/b/rk/mm),Living cover(sg/ns/sc/ca/cc/ma/ta/ua/ev/nm),Genus,Species,Morphology,Notes,Species to count,count,n-1,n(n-1),Diversity
Wailupe,A,1,2,DSCF1149,,,3,m,no,,,,,D=n(n-1)/N(N-1),0,,,
Wailupe,A,1,2,DSCF1149,,,4,m,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,5,rb,ta,,,t,,,,,,
Wailupe,A,1,2,DSCF1149,,,6,rb,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,7,m,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,8,m,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,9,m,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,10,m,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,11,m,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,12,m,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,13,m,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,14,rb,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,15,m,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,16,rb,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,17,rb,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,18,m,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,19,rb,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,20,rb,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,1,m,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,2,m,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,3,m,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,4,m,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,5,m,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,6,m,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,7,rb,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,8,rb,ta,,,t,,,,,,
Wailupe,A,1,3,DSCF1151,,,9,rb,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,10,m,rb,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,11,m,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,12,rb,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,13,rb,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,14,rb,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,15,rb,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,16,m,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,17,m,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,18,m,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,19,m,no,,,,,,,,,
Wailupe,A,1,3,DSCF1151,,,20,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,1,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,2,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,3,rb,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,4,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,5,rb,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,6,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,7,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,8,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,9,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,10,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,11,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,12,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,13,rb,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,14,rb,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,15,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,16,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,17,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,18,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,19,m,no,,,,,,,,,
Wailupe,A,1,4,DSCF1152,,,20,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,1,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,2,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,3,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,4,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,5,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,6,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,7,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,8,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,9,rb,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,10,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,11,rb,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,12,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,13,rb,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,14,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,15,rb,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,16,rb,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,17,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,18,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,19,m,no,,,,,,,,,
Wailupe,A,1,5,DSCF1155,,,20,rb,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,1,m,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,2,m,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,3,rb,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,4,rb,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,5,m,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,6,rb,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,7,rb,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,8,rb,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,9,m,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,10,rb,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,11,rb,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,12,rb,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,13,m,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,14,m,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,15,rb,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,16,m,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,17,m,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,18,m,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,19,m,no,,,,,,,,,
Wailupe,A,1,6,DSCF1157,,,20,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,1,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,2,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,3,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,4,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,5,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,6,rb,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,7,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,8,rb,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,9,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,10,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,11,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,12,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,13,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,14,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,15,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,16,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,17,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,18,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,19,m,no,,,,,,,,,
Wailupe,A,1,7,DSCF1158,,,20,m,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,1,rb,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,2,m,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,3,m,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,4,m,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,5,rb,ma,Gracilaria,salicornia,b,,,,,,
Wailupe,A,1,8,DSCF1160,,,6,rb,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,7,m,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,8,m,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,9,rb,ma,Gracilaria,salicornia,b,,,,,,
Wailupe,A,1,8,DSCF1160,,,10,m,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,11,m,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,12,m,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,13,rb,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,14,rb,ma,Gracilaria,salicornia,b,,,,,,
Wailupe,A,1,8,DSCF1160,,,15,m,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,16,m,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,17,m,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,18,rb,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,19,m,no,,,,,,,,,
Wailupe,A,1,8,DSCF1160,,,20,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,1,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,2,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,3,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,4,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,5,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,6,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,7,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,8,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,9,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,10,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,11,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,12,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,13,rb,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,14,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,15,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,16,rb,ma,Gracilaria,salicornia,b,,,,,,
Wailupe,A,1,9,DSCF1161,,,17,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,18,rb,ma,Gracilaria,salicornia,b,,,,,,
Wailupe,A,1,9,DSCF1161,,,19,m,no,,,,,,,,,
Wailupe,A,1,9,DSCF1161,,,20,m,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,1,rb,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,2,m,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,3,m,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,4,rb,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,5,rb,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,6,m,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,7,rb,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,8,m,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,9,m,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,10,m,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,11,m,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,12,m,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,13,m,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,14,rb,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,15,m,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,16,rb,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,17,rb,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,18,m,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,19,m,no,,,,,,,,,
Wailupe,A,1,10,DSCF1163,21.27561,-157.76194,20,rb,no,,,,,Species count,count,n-1,n(n-1),
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,1,rb,no,,,,,Gracilaria salicornia,5,4,20,0.7121212121
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,2,rb,ma,Gracilaria,salicornia,b,,Articulated Coralline Algae,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,3,rb,ta,,,t,,Acanthophora spicifera,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,4,rb,ma,Gracilaria,salicornia,b,,Actinotrichia sp.,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,5,m,no,,,,,Crustose coralline algae,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,6,rb,no,,,,,Cyanobacteria sp.,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,7,rb,ma,Gracilaria,salicornia,b,,Euptiloclaida sp.,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,8,rb,no,,,,,Halimeda sp. ,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,9,m,no,,,,,Hydrolithon sp.,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,10,rb,no,,,,,Hypnea sp.,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,11,rb,no,,,,,Lyngbya sp.,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,12,rb,ma,Gracilaria,salicornia,b,,Montipora sp.,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,13,rb,no,,,,,Neritina sp.,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,14,rb,no,,,,,Peyssonnelia sp.,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,15,rb,no,,,,,Porites sp. ,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,16,rb,no,,,,,Pterocladiella sp.,0,-1,0,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,17,rb,no,,,,,Spyridia filamentosa,4,3,12,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,18,rb,ma,Spyridia,filamentosa,b,,Zoanthid sp. ,3,2,6,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,19,rb,no,,,,,SUM,12,,38,
Wailupe,A,2,1,DSCF1166,21.2757,-157.76229,20,rb,ma,Gracilaria,salicornia,b,,,,,,
Wailupe,A,2,2,DSCF1167,,,1,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,2,rb,no,,,,,N(N-1),132,,,
Wailupe,A,2,2,DSCF1167,,,3,rb,no,,,,,D=n(n-1)/N(N-1),0.7121212121,,,
Wailupe,A,2,2,DSCF1167,,,4,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,5,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,6,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,7,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,8,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,9,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,10,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,11,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,12,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,13,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,14,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,15,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,16,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,17,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,18,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,19,rb,no,,,,,,,,,
Wailupe,A,2,2,DSCF1167,,,20,rb,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,1,s,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,2,s,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,3,rb,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,4,rb,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,5,rb,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,6,rb,ta,,,t,,,,,,
Wailupe,A,2,3,DSCF1168,,,7,rb,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,8,rb,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,9,rb,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,10,rb,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,11,s,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,12,rb,ta,,,t,,,,,,
Wailupe,A,2,3,DSCF1168,,,13,rb,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,14,rb,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,15,s,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,16,rb,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,17,s,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,18,rb,no,,,,,,,,,
Wailupe,A,2,3,DSCF1168,,,19,rb,ta,,,t,,,,,,
Wailupe,A,2,3,DSCF1168,,,20,s,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,1,rb,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,2,m,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,3,m,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,4,m,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,5,m,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,6,rb,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,7,rb,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,8,m,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,9,rb,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,10,rb,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,11,rb,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,12,m,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,13,m,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,14,m,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,15,rb,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,16,rb,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,17,rb,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,18,m,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,19,rb,no,,,,,,,,,
Wailupe,A,2,4,DSCF1173,,,20,rb,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,1,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,2,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,3,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,4,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,5,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,6,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,7,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,8,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,9,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,10,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,11,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,12,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,13,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,14,rb,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,15,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,16,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,17,m,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,18,rb,ta,,,t,,,,,,
Wailupe,A,2,5,DSCF1174,,,19,rb,no,,,,,,,,,
Wailupe,A,2,5,DSCF1174,,,20,m,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,1,rb,ns,zoanthid,,p,,,,,,
Wailupe,A,2,6,DSCF1175,,,2,rb,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,3,rb,ta,,,t,,,,,,
Wailupe,A,2,6,DSCF1175,,,4,rb,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,5,rb,ta,,,t,,,,,,
Wailupe,A,2,6,DSCF1175,,,6,rb,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,7,m,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,8,rb,ta,,,t,,,,,,
Wailupe,A,2,6,DSCF1175,,,9,m,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,10,m,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,11,m,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,12,m,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,13,rb,ns,zoanthid,,p,,,,,,
Wailupe,A,2,6,DSCF1175,,,14,m,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,15,rb,ns,zoanthid,,p,,,,,,
Wailupe,A,2,6,DSCF1175,,,16,m,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,17,m,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,18,rb,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,19,m,no,,,,,,,,,
Wailupe,A,2,6,DSCF1175,,,20,m,no,,,,,,,,,
Wailupe,A,2,7,DSCF1176,,,1,rb,no,,,,,,,,,
Wailupe,A,2,7,DSCF1176,,,2,rb,ma,spyridia,filamentosa,b,,,,,,
Wailupe,A,2,7,DSCF1176,,,3,s,no,,,,,,,,,
Wailupe,A,2,7,DSCF1176,,,4,m,no,,,,,,,,,
Wailupe,A,2,7,DSCF1176,,,5,rb,no,,,,,,,,,
Wailupe,A,2,7,DSCF1176,,,6,rb,ma,spyridia,filamentosa,b,,,,,,
Wailupe,A,2,7,DSCF1176,,,7,rb,no,,,,,,,,,
Wailupe,A,2,7,DSCF1176,,,8,rb,ma,spyridia,filamentosa,b,,,,,,
Wailupe,A,2,7,DSCF1176,,,9,rb,no,,,,,,,,,
Wailupe,A,2,7,DSCF1176,,,10,s,no,,,,,,,,,
Wailupe,A,2,7,DSCF1176,,,11,rb,no,,,,,,,,,
Wailupe,A,2,7,DSCF1176,,,12,s,no,,,,,,,,,
Wailupe,A,2,7,DSCF1176,,,13,rb,no,,,,,,,,,
Wailupe,A,2,7,DSCF1176,,,14,rb,no,,,,,,,,,
